Genes,FC_mem_KO_mem WT
Gm10031,1.25477707
Oxct1,1.25430584
Hps6,1.254237288
Pgam2,1.254054054
Rp9,1.253978646
Dnah8,1.253883717
Ahcyl2,1.253881222
St3gal3,1.253790376
RP23-438P19.11,1.253588517
Axl,1.253544748
B3galnt1,1.253521127
2610037D02Rik,1.253187614
Arl16,1.252929688
Zdhhc1,1.252656434
Acd,1.25258773
Tppp,1.252545825
Pcdh1,1.252525253
Serpinf1,1.252212389
Pno1,1.252148997
Nek8,1.251951739
Amz2,1.251950078
Gm1604a,1.251851852
Smarcad1,1.251802097
Olfr1234,1.251748252
BC021891,1.251724138
Serf1,1.25170068
Ubqlnl,1.251533742
Cox10,1.251423565
H2-Aa,1.25135482
Hemk1,1.25128866
Tipin,1.251177163
Gucy2e,1.25095057
Sema5a,1.250909091
Mrpl38,1.250744491
Cdca4,1.250660328
Plxna2,1.250639386
Paqr4,1.250624064
Ccl27a,1.250535332
Zfp93,1.250384025
Ntpcr,1.250281215
Kl,1.25
Vsig8,1.25
Itgbl1,1.25
Wnt3a,1.25
Vmn1r178,1.25
Vmn1r212,1.25
Zkscan16,1.25
Rarb,1.249843063
Saal1,1.249732375
Hpgd,1.24938618
Tmco1,1.249309099
Ccnb2,1.249287749
4930438A08Rik,1.249230769
Macrod1,1.248847926
Kctd3,1.248835543
Xkr5,1.248628885
Rsrc1,1.248529412
Vsx2,1.248120301
Scn1a,1.247956403
Sstr5,1.247863248
Ppil3,1.247832168
Akr1c12,1.247826087
Bola2,1.247709998
Olfr1106,1.247619048
Setd4,1.247560976
Cftr,1.247311828
Nrp2,1.247225647
E2f8,1.247097844
Gm13563,1.247058824
Adarb1,1.246943765
Idi2,1.24691358
Gpr137c,1.246835443
Tifa,1.246546961
Ofd1,1.246491401
9130019O22Rik,1.246487119
Slc6a20a,1.246376812
Plxna4,1.246376812
Pcdha1,1.246153846
Zscan22,1.246138759
Gm11787,1.246031746
Pccb,1.245989305
Alox5,1.24591195
Ptk2,1.245714286
P4htm,1.245524297
Foxp2,1.245478036
Sdc3,1.245441795
Dhrs4,1.245164003
Flg,1.245142003
Flg2,1.245
Itih2,1.244897959
Olfr1367,1.244897959
Cnr2,1.244680851
Gm15704,1.244444444
Mlkl,1.244339304
BC048403,1.244305494
Apbb1,1.244210526
Ptafr,1.24417731
Sdhaf4,1.244167963
Gla,1.244131455
Gm13425,1.24375
Apoo,1.243161094
Hk2,1.242966002
Olfr112,1.242857143
Pkib,1.242561449
Necab1,1.242424242
Mamdc2,1.242424242
Susd1,1.242403628
Pdgfc,1.242290749
Klra3,1.242191343
Esco2,1.241670369
Oxtr,1.241666667
Vmn2r56,1.241666667
Cacna2d1,1.241573034
Arhgap23,1.241495556
Lpcat1,1.241405223
Gm10451,1.24122807
Pus7,1.241103662
Gpr151,1.240920097
Hist1h4j,1.240878169
Aunip,1.240847784
Sirpb1b,1.240847784
Cpne5,1.240740741
Gm9239,1.240740741
Olfr281,1.240506329
Htr4,1.240310078
Olfr142,1.240196078
Pck2,1.240133673
Arl4a,1.240044176
Gabrp,1.24
Pinx1,1.239960823
Tceb2,1.239781736
Hexdc,1.239771646
Nt5dc2,1.239716312
Sec61g,1.239621267
Ntn4,1.239600666
Cdca2,1.239590685
Ccl6,1.239406124
Pamr1,1.23923445
Sae1,1.239017572
Basp1,1.238928939
Slc6a5,1.23880597
Ccr2,1.238743344
Cdkn3,1.238709677
Trim15,1.238683128
Pid1,1.238669238
Alpk1,1.238582677
Syngap1,1.238562092
Pigv,1.238349342
Ears2,1.238163558
Slfn5,1.238160291
Wdr31,1.238095238
Smarce1,1.237950046
Tdg,1.237875715
Gm26779,1.237668161
Abcb1b,1.237589866
Ms4a14,1.237458194
Scpep1,1.237340153
Rundc1,1.237070133
Hist1h1a,1.236889584
Prx,1.236804565
Gm12346,1.236453202
Gm9917,1.236318408
Kifc5b,1.236268527
Creg1,1.236142689
Arhgap24,1.235798499
Hdc,1.235544218
Ube2v2,1.235532995
Neurl1a,1.235
Pabpc4,1.234999229
Jmjd7,1.234866828
Rai14,1.234841193
Steap2,1.234666667
Mrps22,1.23460972
Nyap1,1.234567901
Alcam,1.234400792
Rgs4,1.234375
Zic4,1.234375
2310015A10Rik,1.234168739
Gins1,1.234082397
Olfr1259,1.234076433
Gm16619,1.234042553
Ndc80,1.233887978
Ccdc34,1.233593524
Hsd17b10,1.233458849
Tnfrsf11b,1.233333333
RP24-87K15.4,1.233160622
Dlc1,1.233067729
Arv1,1.233031674
Nhs,1.233031674
Rassf10,1.232954545
Fam217a,1.232758621
Tma7,1.232700226
Cnpy3,1.232596571
C330027C09Rik,1.232567513
4930432K21Rik,1.23255814
Slc26a9,1.23255814
Ptpro,1.232466896
4933440M02Rik,1.232375979
Apol7c,1.232255667
Gtf2e2,1.232162373
Kifap3,1.231947484
Kif1a,1.231884058
Tbc1d8,1.231564332
Idh3g,1.231409501
Sema3e,1.231404959
Cnr1,1.231023102
Myb,1.23080164
Anxa4,1.230793651
Lemd1,1.230769231
Luc7l3,1.230765671
Eif2b3,1.23046252
Lyar,1.230096475
1110059G10Rik,1.229961305
Gm16845,1.229910714
Tmem136,1.229885057
Leng9,1.229722222
Gm12258,1.229567
Yap1,1.229411765
Olfr1364,1.228915663
Ift80,1.228789323
Tigd5,1.228710462
Tsku,1.228395062
Tomm40l,1.228365385
Adgrl3,1.228362878
Lyrm5,1.228271028
H2-DMb1,1.228100114
Tnfrsf21,1.227964602
Tmem186,1.227775969
Lrrc48,1.227678571
Slc25a14,1.227642276
Clec1b,1.227626459
Glb1l,1.227586207
Ldlrad3,1.227533461
Prkar2b,1.227523569
Usp49,1.227413453
Casp6,1.227311281
Rwdd1,1.227294512
4930595D18Rik,1.227272727
E2f1,1.227194492
Fut7,1.227163462
Hhat,1.227112676
Rexo2,1.227017864
Nkiras2,1.227002288
Klhl7,1.226772347
Nhsl1,1.226415094
C330011M18Rik,1.226222826
Zfp366,1.226218097
Cep55,1.226200163
Ndufc2,1.226091221
Mylpf,1.22591944
Ccdc148,1.225903614
Rasd2,1.225806452
Ms4a6c,1.225553815
Svbp,1.225422427
Inafm2,1.225280078
Ksr1,1.225207621
Rab7b,1.22489083
Clec4a3,1.224558452
Sf3a3,1.22454606
Ccdc90b,1.224489796
Ube2v1,1.224371373
Adam21,1.22418136
Frk,1.224043716
Slfn4,1.223642173
Lztfl1,1.223506744
Bsn,1.223363286
Dtd2,1.223310023
Igsf8,1.223254214
Kbtbd13,1.223140496
Bco1,1.223021583
Slc43a2,1.223007612
2310058D17Rik,1.22295082
H1f0,1.222387689
2900011O08Rik,1.222222222
Dsg1a,1.222222222
Plppr4,1.221884498
Hibch,1.221830986
4632427E13Rik,1.221773815
Fam3c,1.22168042
L2hgdh,1.221621622
Cmtr2,1.22147651
Ttc29,1.220930233
Rpl21,1.220876997
Spns3,1.220710838
Il9r,1.220708447
Tram2,1.220706456
Gm45234,1.220588235
Zfp488,1.220496894
Gm13972,1.220338983
Olfr1359,1.22
Synpo2,1.219903692
Ankrd42,1.21971831
Mocos,1.219701162
Olfr398,1.219626168
Cnih4,1.21957672
Zbtb22,1.219512195
Scaper,1.219426615
Spdl1,1.219318182
Mrpl42,1.21929477
Csf1,1.219151671
Gm11190,1.219101124
Fam204a,1.219015581
B130055M24Rik,1.218971631
Pla2g2d,1.218905473
Nrgn,1.218844221
9130204K15Rik,1.21875
4931428F04Rik,1.218637993
Psmb11,1.218637993
Pou2f2,1.218621164
Cdc42bpg,1.21857671
Gas2l3,1.218556701
B230217O12Rik,1.218503937
Bcl2l12,1.218373494
1500004A13Rik,1.218289086
Serpine1,1.218181818
Rfc4,1.218109953
Olfr319,1.218009479
Ppih,1.217919265
Ptp4a2,1.217739368
Nkrf,1.217730292
Trmt10a,1.217689822
Bod1,1.217667155
A330035P11Rik,1.217503218
Samd14,1.217260788
Slc35g3,1.217105263
Cd22,1.21707113
Gm37529,1.217054264
Gm26596,1.216964286
4430402I18Rik,1.216890595
Ndufa11,1.216887417
A930004D18Rik,1.216666667
Ankrd13b,1.21664995
Ccdc124,1.216606722
Gfra2,1.216466235
Denr,1.216264389
Tmem178,1.216216216
Gm26671,1.216216216
Mfge8,1.216153206
Pdzph1,1.216145833
Cd74,1.215848272
Klri1,1.215722802
3930402G23Rik,1.215686275
Speer4d,1.215686275
4930568A12Rik,1.215384615
Erp44,1.215301144
Tnfrsf10b,1.215189873
Opalin,1.215189873
Nt5e,1.215141956
Gm45254,1.214953271
Myo7a,1.214917826
Sdc1,1.214710253
Neu4,1.214659686
2810410L24Rik,1.214285714
Sh3bgrl2,1.214285714
Olfr320,1.214285714
Tgfbi,1.214223003
Wdfy4,1.214008067
Them7,1.21399177
Ptpdc1,1.213947991
Ergic1,1.213921392
Hist2h2be,1.213918545
Pole,1.213915804
8430429K09Rik,1.213797814
Gm28707,1.213675214
Irf4,1.213666136
Uqcr10,1.213650703
Hmgb3,1.213572343
Atp6v1f,1.213394522
Olfr713,1.213235294
Olfr958,1.213235294
Gsn,1.212975098
Cib2,1.212962963
Col11a1,1.212765957
Vmn2r84,1.212765957
Rusc1,1.212513484
Vwa3b,1.2125
9130011E15Rik,1.212397245
Sp7,1.212290503
Gpn2,1.212235294
Gm6483,1.212195122
Pkp1,1.212121212
Sap30bp,1.211932679
Rnf141,1.211931444
Prdm8,1.211538462
Gpr137b-ps,1.211516315
Abhd10,1.211513995
Cpne6,1.211382114
Erich1,1.211338357
Shank2,1.210982659
Nr1i2,1.2109375
Bmx,1.210344828
Fmo1,1.209944751
Crcp,1.209754214
Csf3r,1.20974478
Gm45451,1.209677419
Cep70,1.209636903
Zfp941,1.209549072
Fastkd1,1.209309133
Dkk3,1.209302326
Fam60a,1.209007216
Ly6g5b,1.208955224
Mpped1,1.208791209
Pbx1,1.208741031
Sumo1,1.208693268
Ube2t,1.208633094
Lmntd1,1.208588957
Phldb3,1.208514335
4833417C18Rik,1.208443272
Dph1,1.208379272
Socs6,1.208363584
Sost,1.208333333
Gm11528,1.208333333
Olfr887,1.208333333
Csf2rb,1.208170622
Mef2c,1.207950311
Nudt22,1.207943925
Gm16485,1.207920792
Mcm8,1.207865169
Tfcp2,1.207745637
Arl13b,1.20770729
Map6,1.20754717
Chrna3,1.2075
Trdmt1,1.20746888
Nucks1,1.207424448
Ptchd4,1.207386364
Htatip2,1.20737223
Pou2af1,1.207274149
Rsg1,1.207207207
Wdr92,1.207189901
Hacd2,1.207132735
Mcidas,1.206896552
Yars,1.206861834
Kif1bp,1.206819984
Filip1,1.206819867
Rtkn2,1.206790123
2210408I21Rik,1.206790123
Olfr551,1.206349206
Slamf6,1.206167904
Ccr1,1.206148282
Obscn,1.20613354
Gm11251,1.206060606
Trappc1,1.206015038
Tm2d1,1.205943331
Gmeb1,1.20580074
Rcn2,1.205638845
Fgd2,1.205603039
Ing4,1.205516823
U2af1l4_1,1.20548893
Ptprd,1.205450734
Cep44,1.205399061
Coa3,1.205330924
Ctla4,1.205263158
Ppp2r3c,1.205164766
Zfp26,1.205160406
Nek11,1.205128205
Stard5,1.205091737
Ndufaf2,1.204878049
Purg,1.204730229
Gm4425,1.204545455
Olfr1410,1.204545455
Olfr59,1.204545455
Vmn1r43,1.204379562
Asb7,1.203867117
Pigb,1.203806871
L3mbtl2,1.203770285
Nup43,1.203728362
Tbx3os1,1.203592814
Idh2,1.203429678
Lmna,1.203364671
Nxn,1.203359328
Celsr1,1.203324468
Mios,1.203252844
Gm2a,1.203012667
Angpt1,1.202934593
Zfp641,1.202830189
Gm10263,1.202764977
Gm4847,1.202702703
Zfp948,1.202671312
Cpt2,1.202518892
Cmpk2,1.202437373
Atp6v1g2,1.202380952
Dynlt1b,1.202316602
Zdhhc12,1.202312139
Kank3,1.202205882
Myh8,1.201834862
2810001G20Rik,1.201658664
Prkci,1.201511879
Dna2,1.201482854
Tmem79,1.201438849
Lifr,1.201331967
Upf3a,1.201316789
Nifk,1.201151789
Pnpla8,1.201075368
Cckar,1.200956938
Evc,1.200657895
Serpinb8,1.200421941
Kif4,1.200404858
Rgs18,1.200381679
Fcgr1,1.20033389
Zswim1,1.20031348
Gsr,1.200184368
Hist1h1b,1.200115322
Slc11a1,1.2000815
Layn,1.2
Rnf223,1.2
Hist1h2an,1.199844328
Rbmxl1,1.199788136
Rpl26,1.199761656
Aff3,1.199726753
Sarnp,1.199718753
Cep63,1.199662941
Zfp239,1.199655766
Pex16,1.199592668
Zkscan2,1.199524941
Tubb1,1.199404762
5330413P13Rik,1.199386503
Yif1b,1.199245757
Llph,1.199222126
Ttc25,1.199134199
Ctsk,1.198757764
Uhrf1bp1,1.198663644
Hist1h4i,1.198630137
Psma4,1.198534048
Bdkrb1,1.19844358
Tmem132e,1.198412698
Mphosph6,1.198281283
Mn1,1.198237885
Recql,1.198141264
Pqlc1,1.198012514
Cfap100,1.197994987
Rps6,1.197879972
Gpc6,1.197674419
Pik3r2,1.19765332
Anxa1,1.197642602
Nat8f4,1.197539303
Ptov1,1.19751938
A630052C17Rik,1.197492163
Vmn2r63,1.197368421
Rtl1,1.197318008
Ppp1r3g,1.197044335
Nbn,1.196934213
Olfr1349,1.196923077
Csf2ra,1.196921863
Brinp2,1.196808511
Mrps17,1.196625459
BC065397,1.196601942
Cpne2,1.196573876
Tm7sf3,1.196471885
Vmn1r231,1.196428571
Cd19,1.196391395
Plod3,1.196351156
Tmprss11f,1.196172249
Isoc2b,1.196165192
Enam,1.196141479
Acrbp,1.19609892
Gm6288,1.196078431
Poc1b,1.195966135
Klhdc8b,1.195959596
Ccdc142,1.195744681
Ncf2,1.195457262
Cdc6,1.195439739
Rpp30,1.195385371
Zfp760,1.195248701
Fbxo32,1.195226003
3425401B19Rik,1.195121951
Npr1,1.195121951
Tatdn3,1.194875253
Stmn1,1.194870731
Dock4,1.194859813
Fam46a,1.19475238
Eif2ak2,1.194648043
Agl,1.194405454
Tpst1,1.194395797
Wdfy2,1.194305694
Thap2,1.194202083
Cd300lb,1.194050992
Six6,1.19379845
Inpp5f,1.193552514
Tchp,1.193317903
Incenp,1.193266961
Usp43,1.193069307
Rasal2,1.193025142
Olfr531,1.192982456
Tmprss13,1.192982456
Gm15411,1.192771084
Saa3,1.192546584
Csgalnact2,1.192528516
Hist1h3c,1.192506975
Cd302,1.1925
Mrgprd,1.192307692
Lmln,1.192118227
Cfap36,1.19211462
Gm27162,1.192
Arhgap6,1.191771269
Ftx,1.191759304
Khk,1.191756272
Psmb6,1.191655387
Sarm1,1.191458027
Tkfc,1.191437803
Zfp790,1.191380862
Gm10714,1.191176471
Meg3,1.191135734
mt-Atp6,1.191027762
Zfp653,1.190985915
Mafb,1.190828824
Mrps7,1.190734558
Rab3il1,1.190687361
Cwc22,1.190676657
Gm26623,1.190635452
Ufd1l,1.190584459
Zfp787,1.190486213
Dok7,1.19047619
Rsl1,1.19047619
Slc9a3,1.19047619
Trbv1,1.19047619
Cst3,1.190425828
Myh9,1.190396093
Espn,1.190329218
Olfr458,1.189987163
Slco2a1,1.189966555
Cdpf1,1.189964158
Olfr224,1.189873418
Slitrk4,1.189781022
Lsp1,1.189622143
P2rx4,1.189497717
Ereg,1.189393939
Sh3bgrl,1.189379458
D430041D05Rik,1.189300412
Gm4675,1.189189189
Slc43a1,1.188805347
2610301B20Rik,1.188693098
Trpm2,1.188650307
Ppil1,1.188581762
Tagln3,1.18852459
Prkrir,1.188504542
Fgl1,1.188481675
Fam83b,1.188405797
2010107E04Rik,1.188367306
Rtn1,1.188333333
Krt75,1.188118812
Art2a-ps,1.18783542
Cenpj,1.187660369
Actn2,1.1875
Gm6418,1.1875
Caprin2,1.187284235
Rpl28,1.187201397
Chmp6,1.187108473
Hist1h2ap,1.187098204
Klf1,1.1870527
Ttc33,1.187032419
Tcea1,1.18700047
Cep290,1.186997992
Ndufa8,1.186981583
Mxd3,1.186941581
Wdr36,1.186935192
Ccdc107,1.186844614
Hist1h2bg,1.186806009
Cxcl16,1.186751233
Atpif1,1.186598029
Cdc45,1.186495177
Gm17096,1.186440678
Dach1,1.186407767
6030443J06Rik,1.186335404
Agbl3,1.186219739
Kptn,1.186217009
Parpbp,1.185953711
Npm3,1.185881747
Dgcr2,1.185858586
Gm5860,1.185840708
Rnmtl1,1.18579627
Syt7,1.185770751
Nedd8,1.185687604
AW822073,1.185471406
Ccdc125,1.185440613
Ctnnal1,1.185406699
Snap25,1.185393258
Ppcs,1.185370741
Anp32b,1.185351415
Gm20716,1.185316456
Cyp2b19,1.185185185
Spata7,1.185185185
Ifit2,1.185090829
Wscd2,1.185052803
Nceh1,1.185025525
Htr2c,1.185022026
Gm13420,1.184890656
2010310C07Rik,1.184789441
Knstrn,1.184749544
Olfr537-ps1,1.184466019
Pdap1,1.18443268
5730508B09Rik,1.184375
Tmem28,1.184210526
Sgk2,1.184210526
Lsm3,1.184074074
Rph3al,1.1836613
Tmem241,1.183621092
4930429F24Rik,1.183453237
Thsd1,1.183355007
Gm26527,1.183333333
Gm5127,1.183333333
Tceb1,1.183175206
Prr5,1.183080147
Tmem41a,1.183074266
Hmgn5,1.182919333
Mrpl13,1.182669462
March1,1.182631753
Zfp874a,1.182539683
Klhl32,1.182539683
Pdlim1,1.182487642
Dbp,1.182389937
Gm16794,1.182336182
Hist1h2bh,1.182333874
Atp9a,1.182320442
Zfp771,1.182224707
Bccip,1.18203022
Serf2,1.182026932
Slc40a1,1.181962025
Fam155a,1.181818182
Vmn2r95,1.181818182
Oas2,1.181712963
Ccdc12,1.181543116
Ryk,1.181478405
Ggnbp1,1.181399632
Mxi1,1.181296557
1700030K09Rik,1.181272509
Snrnp27,1.181264533
Kif2a,1.181138644
Prss16,1.181102362
Glp2r,1.180981595
Tbx19,1.180952381
Acox1,1.180911681
Lmod1,1.180811808
Tcf7l1,1.180722892
Gm26843,1.180722892
Ggact,1.180530331
Chac2,1.180522565
Nudt7,1.180440377
Adgra2,1.180417044
Steap3,1.180414712
Zfp979,1.180412371
C1qtnf9,1.180327869
Cnksr3,1.180288462
Gm10125,1.180124224
Gm18752,1.180124224
Frmd7,1.17989418
Pcyox1,1.179792352
Epb41l5,1.179634966
4933408B17Rik,1.179487179
Zfp781,1.179487179
Usp39,1.179215366
Rhobtb2,1.17917078
Zfp92,1.179039301
Zfp39,1.179028895
4930452B06Rik,1.178947368
Atrnl1,1.178907066
Gm15879,1.178846154
Nomo1,1.178713158
Olfr1318,1.178571429
Anapc13,1.178536346
Fam89a,1.178470255
Zscan25,1.178374656
Rspry1,1.178264429
Cyp2ab1,1.17826087
Gm3854,1.178217822
Hilpda,1.178197065
Abcc3,1.178181818
Ifih1,1.178152998
Rpl36a,1.178009451
Cdo1,1.177777778
Olfr1018,1.177777778
Slc25a16,1.177765021
Nt5c2,1.177728044
Narfl,1.177613941
Gm18697,1.177570093
Plac8,1.17751764
Lilra6,1.177514793
Aurkaip1,1.177500678
Mapt,1.177449168
Pabpc4l,1.177419355
Fads1,1.177260519
Ccdc18,1.177260166
Egfem1,1.17721519
Clec4a2,1.177199504
Tpgs2,1.177104208
Idh1,1.177088305
Rp2,1.177033133
Plxnd1,1.176961168
Dleu2,1.176891192
2310022B05Rik,1.176775738
Pcbd2,1.176550784
Pkig,1.17653277
Rpl5,1.176483112
Vmn1r7,1.176470588
Dstn,1.176458157
Cetn3,1.176314861
Aff2,1.176271186
1810011H11Rik,1.176245211
Ermap,1.176244249
Dph5,1.176199455
Zfp985,1.176
Stox1,1.175900277
Gorab,1.175883069
Zmym3,1.175842509
Cln8,1.175783324
Klf10,1.175767798
RP24-499N24.4,1.175572519
Cbwd1,1.175479644
Tmem30b,1.175438596
Lgmn,1.175403891
Crb2,1.175236097
Chchd5,1.175223214
Nsfl1c,1.175137887
Lhpp,1.175115207
Ccdc94,1.175064785
Vmn2r24,1.175
Plekha5,1.17478749
Ggn,1.17472119
Mrpl18,1.174628818
Gpsm2,1.174446337
B430306N03Rik,1.174443647
Clcc1,1.174391362
Olfr857,1.174311927
Rad51,1.174271229
Atic,1.174200149
Eif5b,1.174137497
Thoc6,1.174089069
Abca3,1.173980886
Immp1l,1.173967987
Iqcb1,1.173913043
Lsamp,1.173913043
RP23-433B2.6,1.173913043
Haus7,1.173884939
Gm26781,1.173780488
Pgam1,1.173610263
Olfr1160,1.173515982
Zfp563,1.173443456
Lgals3,1.173389793
Tmem65,1.173307129
Scp2,1.173198412
Inhbb,1.173184358
Fam46c,1.173163726
Larp7,1.173126739
Il20ra,1.173076923
S1pr3,1.172995781
Cenpb,1.172932331
Tmcc2,1.172761665
Ppp1r3f,1.172619048
Eri2,1.172579099
Trit1,1.17257361
Mitf,1.172342621
Kcnj5,1.172297297
Pllp,1.172248804
Pgghg,1.172194981
Llgl1,1.172105591
Plk4,1.172062805
Rida,1.17198038
Vps72,1.171909509
Mgst3,1.17184265
Wdr18,1.171741778
Nudcd2,1.171736485
Agbl4,1.171428571
Pdk1,1.171151563
Creld2,1.170808967
Gm19165,1.170731707
Gzmm,1.170731707
Jade3,1.170711297
Bend4,1.170498084
Ocel1,1.17049022
Avpr1a,1.170454545
Phax,1.170371115
Swap70,1.17035809
Gm960,1.170212766
Kif11,1.1701928
Itga2b,1.169961641
Vmn2r102,1.169811321
Mvp,1.1696567
Tmem184c,1.169641914
Brdt,1.169632266
Gm11427,1.1696
Gm8369,1.169340102
Zscan30,1.169172932
Lig1,1.16914956
Ipmk,1.169115773
Mrpl3,1.169078242
Sall3,1.169047619
Nsrp1,1.169007682
Serpinb1b,1.168986083
Olfr610,1.168918919
Uqcrh,1.168806937
Atl1,1.168797954
Tmem185a,1.168651432
Ndufa2,1.16862135
Zranb2,1.168534351
Sorcs1,1.168316832
Rxfp4,1.168235294
Grn,1.168145332
Zkscan3,1.16811908
Enpep,1.168067227
Arid3a,1.168023394
1700040L02Rik,1.16802168
Ccpg1,1.167981073
Fbxo34,1.167969305
B3gntl1,1.167957406
Yipf5,1.167882188
Mfsd4b4,1.167806091
Plekhg4,1.167785235
Msmo1,1.167456556
Pgp,1.16741517
Olfr586,1.167315175
Drap1,1.16687461
Plekhg1,1.16678597
Rap2b,1.166676296
Adam11,1.166666667
Anks4b,1.166666667
Nckap5,1.166666667
RP23-396C4.1,1.166666667
Sez6,1.166666667
Cmss1,1.166666667
Zp3r,1.166666667
Bcl10,1.166501135
Slc25a37,1.166456982
Dpp10,1.166383701
Tnfrsf4,1.166376307
Vrk2,1.166091954
Taf1d,1.165975377
Ccr3,1.165974146
Ckap2l,1.165957447
Wars2,1.165891923
Soga1,1.165881927
Zfp235,1.165870438
Sar1b,1.165740097
Npm1,1.165708217
Hist1h2ac,1.165688346
Fam162a,1.165533651
Pou1f1,1.165492958
Scarb1,1.165485278
Esf1,1.16540761
Cxx1b,1.165366615
Hrasls,1.165354331
Erbb4,1.165254237
Clca3a1,1.165250236
Utp14a,1.165154461
Nupr1,1.165083135
4930552P12Rik,1.165
Rftn2,1.164991625
Gm831,1.164912281
Rrh,1.164835165
Soat1,1.164793591
Kcnip1,1.164516129
Ndufaf5,1.164468864
Ifi205,1.164345404
Ing3,1.164252193
Acta2,1.164179104
Mrc1,1.163965848
Paqr5,1.163755459
Pdcd2,1.163738813
Fkbp1b,1.163716814
Ccnd1,1.163609135
Spic,1.163580247
Slc16a12,1.163461538
Tmem97,1.163393559
Cyb5r1,1.163278272
Avpr2,1.163265306
Kdm8,1.163172805
Cemip,1.163101604
Ybx1,1.163075749
Sema4b,1.163001064
Trappc5,1.162966462
Pank2,1.162924194
Spag7,1.162709341
Ppic,1.162698413
Cebpd,1.162695152
Arl6ip4,1.16260355
Timm21,1.162423178
Tdgf1,1.162393162
Psmc3,1.162364434
Mboat1,1.162264151
Eci1,1.162223741
Tlr12,1.162068966
Zfp354c,1.162022704
Batf,1.161996067
Ilvbl,1.161925602
Il17rd,1.161812298
Trgv2,1.161764706
Lpcat2,1.161752988
Nod2,1.161749746
Hrc,1.161572052
9030407P20Rik,1.161538462
B230398E01Rik,1.161458333
Eif3c,1.161313096
She,1.161290323
Gm44066,1.161290323
Xkr4,1.161290323
Sept8,1.16128033
Ddrgk1,1.161197928
Rdh14,1.161159126
Klrb1,1.161152615
Abcc10,1.161068889
Sirt5,1.161016949
Aldh6a1,1.16099356
Klhl22,1.16096711
Brinp3,1.16091954
Irs4,1.16091954
Myo5a,1.160746154
Siglece,1.160739687
Abat,1.16066482
Exosc5,1.160588016
Cenpw,1.160541586
Tyw1,1.160491328
Fcna,1.160476524
Kcnma1,1.160427807
Mrps11,1.160357295
Lockd,1.160310278
Aplf,1.160298639
Gpx1,1.160159098
Gm5547,1.160115607
Hoxa10,1.16
Lamp1,1.159825696
Gpkow,1.159651669
Slc35a1,1.159605101
Suclg2,1.159468797
Bysl,1.159453303
Zcchc3,1.159442724
Vmn2r27,1.15942029
4921524J17Rik,1.159413854
Ccdc91,1.159380428
Speg,1.15936255
Anln,1.159341849
Wdr5b,1.159314876
Btk,1.159311087
Ankrd23,1.159144893
Vmn1r54,1.159090909
Rpl24,1.15904004
Rnaset2b,1.158922144
Kcnc2,1.158878505
Dut,1.15887522
Cfp,1.158823529
Akt1s1,1.158544304
Homez,1.158468677
Trmt61b,1.158421053
4921536K21Rik,1.158415842
Tmem147,1.15839599
Zfp748,1.158374384
Elk1,1.158015267
Ccdc38,1.157894737
Pop5,1.157784986
Psmd14,1.157769178
Rpl13a,1.157755029
Ccdc39,1.157676349
Gpc4,1.157650696
Scube3,1.15755627
Zfp777,1.157545984
Ndufaf8,1.157486047
Nefm,1.157434402
Auts2,1.157394844
Rdx,1.157346577
Cdc73,1.157263016
Zfp704,1.157216495
Chchd10,1.157187994
Olfml2a,1.157142857
Fam177a,1.15713196
Pex13,1.15711326
Slc16a11,1.157107232
Kif16b,1.157070727
C1rl,1.157024793
Aamp,1.156970138
Met,1.156883671
Pxylp1,1.156868021
Tas2r119,1.156862745
Vmn2r62,1.156862745
Palb2,1.156849546
Ercc1,1.15682968
Cd81,1.156827127
Sntb1,1.15675501
Tm4sf20,1.156593407
Gimap7,1.156527056
Arl6,1.156479218
Gm16244,1.156462585
Pyurf,1.156460945
Tcaim,1.156441718
Zfp3,1.1562983
Gfm1,1.156135604
Oprm1,1.156133829
Zfp946,1.155978717
Slc39a11,1.155977831
Hacl1,1.155889724
Prkcd,1.155871511
Nbas,1.155814472
Tubd1,1.155630739
Gm7168,1.155555556
Ubl4b,1.155555556
Olfr1384,1.155440415
Peg3,1.155256724
Sgms1,1.155238943
Bcl2a1c,1.155172414
Vwc2l,1.15503876
Itm2a,1.155009452
Adora2b,1.15498155
Trim60,1.15497076
Os9,1.154938265
Nrip2,1.154798762
Tnfaip2,1.154697186
Nsa2,1.154515484
Fam110c,1.154471545
Reep2,1.154385965
Klrc1,1.154281121
Zfp28,1.154276316
Zfp12,1.154129945
Vwc2,1.154046997
Glrx3,1.153954528
Spidr,1.153854436
4930553P18Rik,1.153846154
AY512915,1.153846154
Fads3,1.153846154
Zmat2,1.153843295
Pla2g12a,1.153810192
Oasl2,1.15380117
Klhl28,1.153729991
Cyb5r4,1.153673404
Slc35b2,1.153671329
Numb,1.153642474
Hccs,1.153575428
Cyb5d2,1.153511159
Tmed10,1.153478278
Trim59,1.153379634
Foxn3,1.15329087
Gstt2,1.153153153
Pla2g4a,1.153133515
Gm9843,1.153121319
Ptma,1.152968227
Gm14569,1.152905199
Wdr12,1.152861876
Uba52,1.152810873
Dbi,1.152801358
Adap1,1.152786779
Zmynd19,1.152753392
Maml3,1.152722444
Duxf3,1.152671756
Armcx3,1.152595495
Tbc1d22a,1.152576693
Keap1,1.152515723
Asb8,1.15248227
Pex12,1.15245478
Epha5,1.152380952
Rpf2,1.152369526
Zcrb1,1.152343043
