chr	start	end	Name	WT_SPRM	KO_SPRM	Linear	log2FC	abs_log2FC	gene	distance_TSS
chr10	22142524	22142807	TIM_007_31_gap500_peak_931,TIM_007_32_gap500_peak_1046,.	8.861348714	0.5	0.05642481930657491	-4.147526296400604	4.147526296400604	NONE	NA
chr9	124256565	124257415	TIM_007_31_gap500_peak_13985,.	7.095262741	0.5	0.07046955387722971	-3.8268561089679065	3.8268561089679065	NONE	NA
chr7	145340947	145341321	TIM_007_31_gap500_peak_12514,TIM_007_33_gap500_peak_15209,.	6.392469902	0.5	0.07821702842019888	-3.6763734627664846	3.6763734627664846	NONE	NA
chr18	90602161	90602514	TIM_007_31_gap500_peak_6539,.	6.343295599	0.5	0.0788233800863424	-3.665232573650318	3.665232573650318	NONE	NA
chr11	3168720	3168976	TIM_007_31_gap500_peak_1585,.	6.039359141	0.5	0.08279024120383902	-3.5943954679023493	3.5943954679023493	NONE	NA
chr3	8245486	8246389	.,TIM_007_36_gap500_peak_7582,TIM_007_34_gap500_peak_7688	0.5	5.694379684	11.388759368	3.509538690825478	3.509538690825478	NONE	NA
chr12	120028689	120029011	TIM_007_31_gap500_peak_3264,.	5.438572828	0.5	0.09193588388221911	-3.4432281139576406	3.4432281139576406	NONE	NA
chr2	182012774	182013135	TIM_007_31_gap500_peak_8189,TIM_007_32_gap500_peak_9074,TIM_007_33_gap500_peak_9943,.	5.353840423	0.5	0.0933909045648819	-3.4205741385346307	3.4205741385346307	NONE	NA
chr14	8286534	8286868	TIM_007_33_gap500_peak_4884,.	5.31071237	0.5	0.09414932784243406	-3.4089053946893224	3.4089053946893224	NONE	NA
chr11	3157482	3160110	.,TIM_007_34_gap500_peak_1471,TIM_007_35_gap500_peak_1856,TIM_007_36_gap500_peak_1461	0.5	5.255948855	10.51189771	3.3939512370383116	3.3939512370383116	NONE	NA
chr11	3184487	3184879	TIM_007_31_gap500_peak_1587,.	4.610227871	0.5	0.10845450897236138	-3.204838060901243	3.204838060901243	NONE	NA
chrX	75660760	75662320	TIM_007_31_gap500_peak_14240,.	4.55038546	0.5	0.10988080117502837	-3.1859887601852512	3.1859887601852512	NONE	NA
chr11	3170747	3171522	.,TIM_007_34_gap500_peak_1473	0.5	4.224713594	8.449427188	3.078853540087963	3.078853540087963	NONE	NA
chr4	28176792	28177186	TIM_007_31_gap500_peak_9012,.	4.144086983	0.5	0.12065383811949779	-3.051054285028747	3.051054285028747	NONE	NA
chr11	3185301	3188297	.,TIM_007_36_gap500_peak_1464,TIM_007_35_gap500_peak_1859,TIM_007_34_gap500_peak_1476	0.5	3.975849864	7.951699728	2.991263278894103	2.991263278894103	NONE	NA
chr11	107198543	107198878	.,TIM_007_36_gap500_peak_2397,TIM_007_35_gap500_peak_2912	0.5	3.78085254	7.56170508	2.918711582739775	2.918711582739775	NONE	NA
chr11	3143054	3144840	.,TIM_007_36_gap500_peak_1459	0.5	3.536811297	7.073622594	2.822449247553183	2.822449247553183	NONE	NA
chr11	3152176	3155358	.,TIM_007_36_gap500_peak_1460,TIM_007_34_gap500_peak_1470	0.5	3.517409661	7.034819322	2.814513370639928	2.814513370639928	NONE	NA
chr4	118547086	118548528	TIM_007_31_gap500_peak_9417,TIM_007_32_gap500_peak_10422,TIM_007_33_gap500_peak_11473,.	2.970385934	0.5	0.1683282950800561	-2.5706503885666385	2.5706503885666385	Tmem125	(-4079)
chr17	19658491	19658844	.,TIM_007_34_gap500_peak_5197,TIM_007_36_gap500_peak_5130	0.5	2.725336072	5.450672144	2.4464341453068856	2.4464341453068856	Vmn2r102	(-1731)
chr18	3010170	3011122	.,TIM_007_34_gap500_peak_5792	0.5	2.685040195	5.37008039	2.424943685489317	2.424943685489317	NONE	NA
chr4	156356841	156357115	TIM_007_33_gap500_peak_12010,.	2.619213713	0.5	0.19089698466312205	-2.389133780233083	2.389133780233083	NONE	NA
chr17	3019955	3020817	TIM_007_31_gap500_peak_5444,.	2.404720054	0.5	0.20792441064742748	-2.2658689521185185	2.2658689521185185	NONE	NA
chr17	67741244	67741645	TIM_007_31_gap500_peak_6057,TIM_007_32_gap500_peak_6716,.	2.362790201	0.5	0.21161421771107133	-2.24049153391852	2.24049153391852	NONE	NA
chr2	163639863	163645586	TIM_007_32_gap500_peak_8870,TIM_007_35_gap500_peak_8945,TIM_007_36_gap500_peak_7408,TIM_007_34_gap500_peak_7503	0.705839245	3.20440477	4.539850670955538	2.1826448438124384	2.1826448438124384	Serinc3	(+2406)
chr13	110602856	110603330	TIM_007_32_gap500_peak_4257,TIM_007_31_gap500_peak_3845,TIM_007_33_gap500_peak_4781,.	2.247959201	0.5	0.22242396560292377	-2.168615851818132	2.168615851818132	NONE	NA
chr2	155513387	155514697	TIM_007_33_gap500_peak_9661,TIM_007_31_gap500_peak_7949,TIM_007_32_gap500_peak_8802,TIM_007_35_gap500_peak_8879	2.503522354	0.559792565	0.22360198386309277	-2.1609951066313533	2.1609951066313533	Ggt7	(+806)
chr13	99790779	99791236	TIM_007_31_gap500_peak_3793,TIM_007_32_gap500_peak_4196,TIM_007_33_gap500_peak_4709,.	2.146996665	0.5	0.23288345443238032	-2.1023199502131287	2.1023199502131287	NONE	NA
chrY	90738329	90739261	TIM_007_33_gap500_peak_17695,.	2.115003918	0.5	0.23640618144708322	-2.0806603359097333	2.0806603359097333	NONE	NA
chr10	121763012	121763480	TIM_007_31_gap500_peak_1495,TIM_007_32_gap500_peak_1679,TIM_007_33_gap500_peak_1979,.	2.071222685	0.5	0.24140330425166234	-2.050482671508338	2.050482671508338	NONE	NA
chr7	64084967	64085526	.,TIM_007_35_gap500_peak_13335	0.5	1.993565907	3.987131814	1.9953513014126532	1.9953513014126532	NONE	NA
chr17	3027208	3029830	.,TIM_007_34_gap500_peak_5101	0.5	1.979182698	3.958365396	1.9849047934530404	1.9849047934530404	NONE	NA
chr10	130594645	130595080	TIM_007_31_gap500_peak_1581,TIM_007_32_gap500_peak_1767,.	1.975323855	0.5	0.2531230505490959	-1.9820892030110617	1.9820892030110617	NONE	NA
chr4	135871561	135877041	TIM_007_33_gap500_peak_11735,TIM_007_35_gap500_peak_10766,TIM_007_36_gap500_peak_8884,TIM_007_34_gap500_peak_9005	0.78264069	3.085735261	3.9427227595334964	1.9791922680140033	1.9791922680140033	Pnrc2	(-451)
chr4	156341467	156343376	.,TIM_007_35_gap500_peak_11003	0.5	1.964834832	3.929669664	1.974408041710508	1.974408041710508	NONE	NA
chr2	73867948	73868221	.,TIM_007_35_gap500_peak_8355,TIM_007_34_gap500_peak_7004	0.5	1.963295547	3.926591094	1.9732773669439296	1.9732773669439296	NONE	NA
chr3	159938692	159939699	TIM_007_32_gap500_peak_9866,TIM_007_31_gap500_peak_8931,.	1.916171059	0.5	0.2609370377720541	-1.9382263580235843	1.9382263580235843	NONE	NA
chrY	90806360	90806985	TIM_007_32_gap500_peak_16076,.	1.912233811	0.5	0.26147430148122197	-1.9352589340651254	1.9352589340651254	NONE	NA
chr1	85262331	85264130	.,TIM_007_35_gap500_peak_342,TIM_007_34_gap500_peak_277,TIM_007_36_gap500_peak_270	0.5	1.870827761	3.741655522	1.9036767420156724	1.9036767420156724	NONE	NA
chr1	85605457	85605688	.,TIM_007_36_gap500_peak_274	0.5	1.859682986	3.719365972	1.8950567108465686	1.8950567108465686	Sp140	(+4870)
chr16	98107428	98107737	TIM_007_32_gap500_peak_6058,.	1.780064709	0.5	0.2808886651547003	-1.83192968706614	1.83192968706614	NONE	NA
chr1	133594743	133595750	TIM_007_33_gap500_peak_634,.	1.73930069	0.5	0.2874718574394402	-1.7985073670733134	1.7985073670733134	NONE	NA
chr5	136982569	136983037	TIM_007_31_gap500_peak_10626,TIM_007_32_gap500_peak_11774,TIM_007_33_gap500_peak_12970,.	1.736341835	0.5	0.2879617307613855	-1.7960510002658918	1.7960510002658918	Plod3	(-4216)
chr17	13590581	13591226	.,TIM_007_35_gap500_peak_6215	0.5	1.7006943	3.4013886	1.7661238397024206	1.7661238397024206	NONE	NA
chr4	3081896	3082374	.,TIM_007_34_gap500_peak_8320	0.5	1.69127629	3.38255258	1.7581123603113968	1.7581123603113968	NONE	NA
chr9	88096290	88096657	TIM_007_32_gap500_peak_15181,.	1.690780263	0.5	0.29572145531959054	-1.7576891765550262	1.7576891765550262	NONE	NA
chr13	54054960	54055623	.,TIM_007_34_gap500_peak_3337,TIM_007_35_gap500_peak_3988,TIM_007_36_gap500_peak_3309	0.5	1.666311247	3.332622494	1.7366579040429833	1.7366579040429833	Drd1	(+366)
